Mapman process	Gene name	gen TAIR 10	Represed at 800 [CO2]	Induced 800 [CO2]
Photosynthesis	Photosystem I reaction center subunit IV A, chloroplastic	at4g28750		0,88
gluconeogenese/ glyoxylate cycle.pyruvate	PPDK, PYRUVATE ORTHOPHOSPHATE DIKINASE	at4g15530	1,98	
Tricarboxylic acid cycle	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial	at5g40650	0,55	
Cell Wall	Xyloglucan endotransglucosylase/hydrolase protein 20	at5g48070	1,02	
Lipid metabolism	TRIACYLGLYCEROL LIPASE-LIKE 1,	at1g45201	1,28	
Amino acids	ASPARAGINASE B1 (L-asparagine to L-aspartate+ammonia)	at3g16150	2,60	
	BCE2 (alpha-keto acids to acyl-CoA and CO(2))	at3g06850	1,60	
	2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial ((alpha-keto acids to acyl-CoA and CO(2))	at1g21400	2,03	
Secondary metabolism	terpenoid synthase 12Ê	at4g13280	0,71	
	O-methyltransferase family protein	at1g77520	1,12	
	O-methyltransferase family protein	at1g77530	0,55	
Hormones	encodes SAMT similarity protein	at5g38020	1,66	
	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	at5g37990	1,35	
	Probable S-adenosylmethionine-dependent methyltransferase At5g37970	at5g37970	0,65	
Stress	Dirigent protein 6	at4g23690	0,84	
	embryo sac development arrest 21	at4g13235	0,91	
	Encodes a defensin-like (DEFL) family protein.	at4g22212	1,81	
	RESTRICTED TEV MOVEMENT 2	at5g04890	0,58	
	Major latex protein-like	at3g26460	1,31	
	Polyketide cyclase/dehydrase and lipid transport superfamily protein	at4g23670	2,34	
	"RmlC-like cupins superfamily protein;"	at3g05950	1,67	
	Polyketide cyclase/dehydrase and lipid transport superfamily protein	at4g14060	1,43	
miscelius	UDP-Glycosyltransferase superfamily protei	at3g46650	0,54	
	Perosidase 38	at4g08780		1,37
	Peroxidase 15	at2g18150	0,76	
	Acid phosphatase-like protein	at4g29270	0,80	
RNA reculation	basic helix-loop-helix (bHLH) family protein 	at1g62975	3,22	
	B-BOX DOMAIN PROTEIN 25	at2g31380	0,82	
DNA synthesis	Histone H1.1	at1g06760	0,69	
Protein degradation	60S ribosomal protein L10-3	at1g66580	1,02	
	Mitochondrial import receptor subunit TOM9-1	at1g04070	0,51	
	KDEL-tailed cysteine endopeptidase CEP2	at3g48340	0,72	
Signalling	Protein RALF-like 1	at1g02900	0,97	
Development	Thiosulfate sulfurtransferase 18	at5g66170	1,83	
	ARABIDOPSIS THALIANA SENESCENCE 1	at4g35770	2,46	
Transport	ABC transporter C family member 4	at2g47800	0,97	
	Detoxifying efflux carrier 35	at4g25640	0,93	
Unknown	unknown	at1g13910	1,04	
	unknown	at4g15610	2,51	
	unknown	at2g35150	0,70	
	unknown	at5g40590	0,55	
	unknown	at2g15780	1,33	
	unknown	at5g48540	1,28	
	unknown	at5g54400	0,93	
	unknown	at5g18310	1,00	
	unknown	at4g39190	0,70	
	unknown	at4g11211	1,46	
	unknown	at2g27430	0,51	
				
