Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At2g28190	AT1G73260	At3g62680	AT1G02910	AT1G24280	AT2G14210	At1g02900
At2g31790	AT1G11610	At3g43670	AT1G03590	AT1G08090	AT5G67420	At1g09570
At3g60330	AT4G11650	At1g14730	AT1G04410	AT1G30510	AT3G49940	At1g10270
At1g16410	AT5G19890	At3g12520	AT1G04430	AT2G15620	AT4G37540	At1g19030
At5g23220	AT5G13320	At1g63310	AT1G05800	AT5G40850	AT2G42200	At1g20390
At3g50900	AT4G16260	At4g23670	AT1G06520	AT5G41670	AT5G37020	At1g27880
At5g17380	AT2G26400	At1g80310	AT1G07000	AT4G05390	AT4G24020	At1g28960
At2g24550	AT2G29350	At1g55330	AT1G07150	AT2G48080	AT5G49450	At1g32850
At3g13730	AT1G26380	At2g16700	AT1G07610	AT1G78050	AT1G64530	At1g35570
At1g23870	AT4G12490	At5g14340	AT1G08090	AT1G70260	AT5G07680	At1g35720
At3g05490	AT5G38900	At3g08030	AT1G08100	AT5G67420	AT5G65210	At1g51070
At3g04530	AT5G41280	At2g39420	AT1G08230	AT3G60750	AT5G10030	At1g51680
At1g80310	AT1G27190	At2g25930	AT1G08290	AT5G62720	AT3G27010	At1g52060
At1g21000	AT3G18250	At1g12580	AT1G08630	AT4G02380	AT3G25790	At1g52760
At1g19440	AT5G41290	At4g22820	AT1G08760	AT5G63160	AT1G13300	At1g54450
At4g03500	AT2G45220	At3g02500	AT1G09780	AT5G13110	AT3G60320	At1g55590
At3g45210	AT2G05510	At1g74660	AT1G09800	AT5G10210	AT1G72330	At1g56330
At1g37130	AT3G03670	At1g09740	AT1G10480	AT5G50200	AT1G64780	At1g58110
At5g24120	AT2G18660	At1g78680	AT1G10650	AT5G13420	AT2G38290	At1g61790
At5g67420	AT4G12500	At1g26680	AT1G11580	AT3G47980	AT2G14210	At1g70080
At3g07270	AT2G05440	At5g45070	AT1G12110	AT1G70410	AT1G30330	At1g74520
At1g74030	AT3G46280	At4g25140	AT1G12740	AT1G13300	AT5G37020	At1g77940
At1g43710	AT4G22470	At3g03980	AT1G12750	AT1G64190	AT3G47340	At2g01520
At1g32920	AT4G26200	At3g26980	AT1G12770	AT2G27510	AT5G65010	At2g15550
At1g30260	AT3G44300	At2g31980	AT1G14340	AT3G07350	AT1G30270	At2g16010
At1g48600	AT1G26410	At2g35480	AT1G14780	AT1G22650	AT4G24400	At2g17630
At1g61480	AT4G12480	At1g26700	AT1G16110	AT1G63940	AT2G31955	At2g19340
At2g42600	AT2G43510	At4g39800	AT1G16130	AT2G33550	AT5G13110	At2g19430
At1g12580	AT4G33720	At3g59480	AT1G17310	AT4G24670	AT1G24280	At2g24520
At4g26130	AT1G14540	At1g75440	AT1G17990	AT4G37540	AT5G18170	At2g24660
At5g01340	AT5G38540	At1g31010	AT1G18030	AT4G36010	AT5G07440	At2g27130
At4g22820	AT5G26690	At3g13320	AT1G18390	AT5G19600	AT1G66200	At2g27720
At1g74660	AT3G01420	At2g20800	AT1G18860	AT5G19970	AT3G17820	At2g29940
At5g57785	AT4G37290	At5g60300	AT1G18900	AT3G49940	AT5G35630	At2g38000
At3g27100	AT1G18970	At5g27150	AT1G19000	AT1G73600	AT5G53460	At2g42050
At3g28050	AT4G37520	At4g29735	AT1G19850	AT5G58900	AT4G35260	At3g03250
At5g08570	AT1G35515	At1g71840	AT1G20620	AT1G73602	AT5G67420	At3g04840
At1g31320	AT1G65500	At4g12730	AT1G21010	AT1G35560	AT3G49940	At3g05590
At1g17060	AT5G10760	At3g46110	AT1G21140	AT1G48598	AT4G37540	At3g07040
At3g50660	AT1G29250	At4g15230	AT1G21450	AT1G48600	AT3G47520	At3g11510
At3g14060	AT3G04720	At3g17020	AT1G21520	AT4G31910	AT1G77760	At3g13030
At5g60530	AT3G47480	At2g29750	AT1G21980	AT1G77760	AT1G37130	At3g15095
At2g30020	AT4G23700	At3g22530	AT1G22610	AT4G12290	AT2G15620	At3g19030
At1g43650	AT5G01210	At1g70880	AT1G23080	AT5G65980	AT1G02860	At3g20320
At3g11340	AT1G14880	At5g19120	AT1G23390	AT4G15340	AT1G64530	At3g20370
At3g52930	AT5G25260	At1g07530	AT1G24280	AT5G18840	AT4G24020	At3g23000
At2g01140	AT5G13080	At2g35000	AT1G24530	AT1G24290	AT3G45650	At3g25490
At1g58360	AT5G43580	At5g60640	AT1G25390	AT4G00416	AT1G69850	At3g27610
At1g27170	AT2G30550	At4g20260	AT1G27700	AT3G63110	AT1G12110	At3g29690
At2g47160	AT1G76930	At1g47480	AT1G27970	AT1G61740	AT1G32450	At3g30800
At2g17130	AT1G19960	At1g22170	AT1G27980	AT1G25550	AT1G08090	At3g48930
At1g31230	AT3G25882	At4g39670	AT1G28130	AT1G49160	AT5G60770	At3g50750
At5g63990	AT5G64810	At3g27890	AT1G28260	AT1G60050	AT5G14570	At3g54230
At2g28780	AT3G26830	At5g49760	AT1G28390	AT4G36670	AT5G50200	At3g60210
At1g80380	AT5G61890	At3g53930	AT1G29290	AT5G01740	AT4G24620	At3g61440
At3g45160	AT1G30370	At4g14510	AT1G29300	AT2G36580	AT1G78050	At4g03190
At2g36530	AT5G66420	At4g12880	AT1G30820	AT2G32560	AT3G08590	At4g09320
At5g27150	AT1G74590	At2g43150	AT1G31340	AT3G10520	AT3G14940	At4g11010
At3g27210	AT3G23120	At5g35630	AT1G31930	AT1G12110	AT4G05390	At4g15270
At1g58080	AT1G32940	At1g31970	AT1G32090	AT2G22200	AT1G30510	At4g16700
At1g24280	AT4G35180	At4g39090	AT1G32100	AT1G78090	AT3G60750	At4g20010
At3g23570	AT1G75750	At4g29050	AT1G37130	AT1G80380	AT5G40850	At4g27140
At3g22850	AT4G37990	At2g45470	AT1G43710	AT2G26980		At4g29490
At4g40070	AT4G25110	At2g31955	AT1G49160	AT4G09620		At4g30090
At1g14340	AT4G08350	At1g80020	AT1G49300	AT2G28780		At4g33250
At3g48920	AT5G48175	At5g58700	AT1G51950	AT3G52930		At4g36350
At5g56980	AT1G23890	At3g46540	AT1G52540	AT5G53460		At5g04410
At3g07490	AT1G30700	At3g12750	AT1G53180	AT4G24620		At5g04720
At5g19120	AT4E20990	At1g20160	AT1G53380	AT5G52790		At5g09360
At3g63110	AT2G13810	At5g20180	AT1G53430	AT5G54170		At5g15770
At5g62900	AT3G04060	At4g31140	AT1G54030	AT3G44800		At5g20290
At1g72220	AT5G42830	At3g54500	AT1G58080	AT1G64590		At5g35820
