ensembl_gene_id	description	external_gene_name	entrezgene_id	flc	adj.p.value	Status
AT1G12110	"NRT1.1 [Source:UniProtKB/TrEMBL;Acc:A0A178W8F7]"	NPF6.3	837763	-0,752731568	1,64E-16	Activator
AT1G08090	"High-affinity nitrate transporter 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O82811]"	NRT2.1	837327	-0,915911886	2,80E-16	Activator
AT5G50200	"High-affinity nitrate transporter 3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGS5]"	NRT3.1	835085	-0,792140772	1,19E-10	Activator
AT1G64780	"Ammonium transporter 1 member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPJ8]"	AMT1-2	842786	-0,888224952	4,40E-10	Activator
AT1G66200	"Glutamine synthetase [Source:UniProtKB/TrEMBL;Acc:F4ID91]"	ATGSR2	842935	-0,52636235	1,91E-08	Activator
AT2G15620	"Ferredoxin--nitrite reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39161]"	NIR1	816055	-0,56783467	2,20E-06	Activator
AT3G21670	"Protein NRT1/ PTR FAMILY 6.4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LVE0]"	NPF6.4	821721	-1,181176242	3,91E-06	Activator
AT1G24280	"Glucose-6-phosphate 1-dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178WP00]"	G6PD3	839044	-0,566537112	9,81E-05	Activator
AT1G77760	"Nitrate reductase [Source:UniProtKB/TrEMBL;Acc:A0A178WBR8]"	NIA1	844112	-0,322810475	0,000129518	Activator
AT4G35270	"Protein NLP2 [Source:UniProtKB/Swiss-Prot;Acc:Q7X9B9]"	NLP2	829680	-0,506821131	0,000224685	Activator
AT3G24300	"Ammonium transporter 1 member 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SQH9]"	AMT1-3	822018	-0,391532945	0,004273908	Activator
AT1G37130	"Nitrate reductase [NADH] 2 [Source:UniProtKB/Swiss-Prot;Acc:P11035]"	NIA2	840630	-0,322974369	0,005975456	Activator
AT3G50610	"Precursor of CEP9 [Source:UniProtKB/Swiss-Prot;Acc:A0A1I9LMX5]"	CEP9	824224	-1,92195116	0,008749034	Activator
AT5G27420	"E3 ubiquitin-protein ligase ATL31 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGA5]"	ATL31	832801	0,607077539	2,56E-06	Repressor
AT1G03850	"Glutaredoxin family protein [Source:TAIR;Acc:AT1G03850]"	AT1G03850	839392	0,541989492	7,02E-08	Repressor
AT5G60850	"OBP4 [Source:UniProtKB/TrEMBL;Acc:A0A178UF84]"	DOF5.4	836206	0,609581023	1,12E-10	Repressor
AT5G63160	"BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7]"	BT1	836437	1,170655283	2,53E-13	Repressor
AT3G48360	"BTB/POZ and TAZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94BN0]"	BT2	823994	1,18226176	4,49E-11	Repressor
AT2G14210	"AGAMOUS-like 44 [Source:TAIR;Acc:AT2G14210]"	ANR1	815907	0,954785664	9,84E-09	Repressor
AT1G25550	"Transcription factor HHO3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPE8]"	HHO3	839142	0,449947285	7,40E-06	Repressor
AT1G68670	"Transcription factor HHO2 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZS3]"	HHO2	843197	0,293421573	0,009033223	Repressor
AT1G13300	"Transcription factor HRS1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX67]"	HRS1	837890	0,447353972	0,000580335	Repressor
